window_end_date,expath_trailing_score,expath_consecutive_distance,path2_trailing_score,path2_consecutive_distance,signature_trailing_score,signature_consecutive_distance
2010-02-02,,,,,,
2010-02-03,,1.4972444011038946,,0.7750272618957057,,0.8735639811174037
2010-02-04,,3.823652207241457,,2.0703898599241657,,2.503981344338023
2010-02-05,,1.4603779048689935,,0.8648051412400047,,0.5385618243697441
2010-02-08,,0.6669242866872913,,0.7223552510449358,,1.1005400334195992
2010-02-09,,2.6955346378976377,,1.6030885173515586,,1.371390540736484
2010-02-10,,1.0672529173482068,,0.9460228776582962,,1.6538806768262466
2010-02-11,,1.7482766443808695,,1.8092565699122696,,0.9646066328494328
2010-02-12,,1.0816128570428003,,1.1495575792069497,,0.945176002160846
2010-02-16,,1.3859926564818328,,1.097995644228898,,1.3100261954346506
2010-02-17,,0.9899204842079415,,1.450782521106763,,0.9108306506887164
2010-02-18,,0.702431916568771,,0.8401633877362532,,0.960386240133305
2010-02-19,,1.1671566553518693,,1.1096984608868194,,0.8330286191266547
2010-02-22,,1.726561805918934,,1.691775738390669,,1.0734991495066162
2010-02-23,,2.007119955802479,,1.0771994048242066,,0.8741420229945898
2010-02-24,,0.9160537851715306,,0.5806697988431312,,0.3778712146675643
2010-02-25,,2.6417309687807604,,0.46407744584859645,,0.2857338004613702
2010-02-26,,1.2554904300662282,,1.1795170002779152,,0.7235060163347306
2010-03-01,,0.9921174954827406,,1.0502265230159349,,1.1986629273850762
2010-03-02,,1.0654498324023063,,1.0649989903805532,,0.6826977573715879
2010-03-03,,0.449105410534892,,0.7953174006061489,,0.4740801468669649
2010-03-04,,0.9253998058852678,,0.731382287688417,,0.6346955209512858
2010-03-05,,2.205787332918127,,2.4023763245954664,,2.8168278704587717
2010-03-08,,0.7553015178244193,,0.5910755788437785,,0.5899396792075873
2010-03-09,,1.1426791903000812,,0.8395000672615225,,0.9196891394720628
2010-03-10,,1.0797292935731047,,0.8905377607800435,,0.835120160561898
2010-03-11,,1.0261943837809469,,0.6524325354802523,,0.9931231244166024
2010-03-12,,1.4059308300581614,,0.6695737745340475,,1.23892636891269
2010-03-15,,1.5379370760730537,,0.45980939031264556,,0.388110510296398
2010-03-16,,1.3325021677172686,,1.086642915530775,,0.7126352437483061
2010-03-17,,0.6001570746772058,,0.7612943500430907,,0.9143739344567248
2010-03-18,,0.791387286318952,,0.6626825496668203,,0.5529752094579651
2010-03-19,,0.8851285129303802,,0.684578358980574,,0.5699425358118181
2010-03-22,,1.9517944744357816,,0.48134737295413604,,0.6581350754331527
2010-03-23,,1.4077801558790641,,1.302949796125287,,1.7515859797325182
2010-03-24,,1.985236931844984,,1.2886690880307794,,1.827566204816233
2010-03-25,,0.6162811716653913,,0.5712141620284894,,0.7089558611707638
2010-03-26,,1.2756514376172667,,0.6854109965968729,,0.458673253540518
2010-03-29,,1.2986139375483694,,0.6838196652252861,,0.4970936219961708
