period,start_date,end_date,window_count,mean_score,max_score,median_score,global_median_score,mean_vs_global_median_ratio
2020 COVID crash,2020-02-15,2020-04-15,41,19.63940885886776,47.28418427476096,19.670715112038167,2.409464470133404,8.150943540487399
2011 US downgrade,2011-08-01,2011-08-31,23,9.742203196777448,17.562161497711358,9.552047555486855,2.409464470133404,4.043306434910018
2022 inflation / rates shock,2022-04-01,2022-10-31,147,4.958942865261903,8.862330419467384,4.833582661244508,2.409464470133404,2.058109977022132
2015 China / growth scare,2015-08-01,2015-09-15,31,4.751079237671437,11.235624501523231,4.38338622314319,2.409464470133404,1.9718403390311814
2018 Q4 selloff,2018-10-01,2018-12-31,63,3.9724461853602637,9.037799154596941,3.7291281654109603,2.409464470133404,1.6486842759463154
