window_end_date,expath_raw_000,expath_raw_001,expath_raw_002,expath_raw_003,expath_raw_004,expath_raw_005,expath_raw_006,expath_raw_007,expath_raw_008,expath_raw_009,expath_raw_010,expath_raw_011,expath_raw_012,expath_raw_013,expath_raw_014,expath_raw_015,expath_raw_016,expath_raw_017,expath_raw_018,expath_z_000,expath_z_001,expath_z_002,expath_z_003,expath_z_004,expath_z_005,expath_z_006,expath_z_007,expath_z_008,expath_z_009,expath_z_010,expath_z_011,expath_z_012,expath_z_013,expath_z_014,expath_z_015,expath_z_016,expath_z_017,expath_z_018
2010-02-02,-0.01394772424598099,-0.037309008951472364,0.011053266594886601,0.5650427030034703,0.00043097185904097506,0.0001686215607788496,-0.0033133381846407167,0.00023982575610160249,-0.0006810485491850426,0.0010848069035580491,0.6039670162065721,0.030198350810328605,0.01079746942598332,0.015204854266179204,0.04923720894049989,0.5665526737033976,0.9380523414371723,0.001028525737668719,0.0023561198124548424,-0.7790128434119956,-1.4772189747150755,0.44253379968988255,4.440892098500626e-15,2.10514536627827,0.35977850775033815,-0.7565897910254327,0.5146419339257788,-0.1279187003810167,0.2939825008973694,0.05068118010776093,0.050681180107747525,0.11207863889966684,-0.6725494408827958,-0.2819753275131545,-0.11072531624498422,-0.1557334409400906,0.012824200892781797,-0.21603605985542507
2010-02-03,-0.018589953590019484,-0.029971972823514957,-0.002401927390162947,0.5650427030034703,0.00027690812782102284,0.00023012098031565238,-0.002339898730603859,0.000351463859226357,-0.0030178963290354395,0.003597305926468198,0.6033301032293027,0.030166505161465136,0.010549392925507665,0.015704698299095703,0.04885478039745452,0.5661474463442082,0.9383709569834563,0.0010213077247534538,0.0022767846800200733,-0.9604509186374676,-1.2379578336363777,-0.15934866855194896,4.440892098500626e-15,1.3594417893176385,0.49174921730694315,-0.5336830418064634,0.754902703971677,-0.5749487928028048,0.9756391061468457,0.03591585290558682,0.03591585290557435,-0.018282809184475158,-0.03235622971007949,-0.32670130058422936,-0.21827865179623476,-0.14901164287768257,-0.019347767188153862,-0.2606724421739046
2010-02-04,-0.04723315461487764,-0.05416375794165923,0.01635029805265703,0.5650427030034703,0.00011689122697704864,0.00012989039221715797,0.004977117268508085,0.0001892734000044584,0.004117247647020425,0.0003982007299061564,0.617221165462079,0.030861058273103946,0.01208730852066754,0.015122800110136121,0.06381640006572732,0.5698291603920549,0.9232171420522426,0.00109850794500972,0.0030638807648798476,-2.079949090118465,-2.026853241966505,0.6794824733173296,4.440892098500626e-15,0.5849235143892635,0.27666585667914967,1.1418317974384604,0.40584621218226685,0.7899771123253481,0.10770197732017901,0.3579474119610124,0.3579474119609993,0.7898747697551736,-0.7776432505273411,1.4230974802652556,0.7589027191357659,-0.4687100538018385,0.3247473530454367,0.1821719911427781
2010-02-05,-0.043733087820834175,-0.04327292445839551,0.016971499882905295,0.5650427030034703,-1.0951638944380895e-06,3.407202619666122e-05,0.002202026270396025,4.271699227502055e-05,-1.5809228894253687e-05,0.00015588355241640515,0.6148682087204067,0.030743410436020337,0.011549515298697062,0.015294089194737634,0.06010002224292559,0.568635574852005,0.9248088725149479,0.0010785485888724418,0.003475703046731798,-1.9431515871929894,-1.6717025788023054,0.7072702920051619,4.440892098500626e-15,0.013842488317447119,0.07105061920992062,0.5063669920921154,0.09043637995960223,-0.0006609485512261492,0.04195982056901772,0.30339965202636787,0.30339965202635594,0.5072703995246776,-0.5582585987389768,0.9884578137253803,0.4421074604076395,-0.43512948667360385,0.23578495077451378,0.41387585620062667
2010-02-08,-0.04895216586183775,-0.04989519648857925,0.017338133522081668,0.5650427030034703,-3.301362368051227e-05,5.43996142365946e-05,0.002185438597329255,5.035872236017014e-05,-0.00017031504319952955,0.00034666764861161244,0.6127392846027113,0.030636964230135566,0.011098760731607961,0.015206454590310985,0.05660006941601173,0.569613651755904,0.9296182994456292,0.001061806067016089,0.003390709285444575,-2.1471353639590522,-1.8876552243723372,0.7236706768627235,4.440892098500626e-15,-0.14065013265879414,0.11467129461481618,0.5025686004560592,0.10688244902877324,-0.030217323187238094,0.09372073198118716,0.25404556079535323,0.2540455607953406,0.27040387656257187,-0.6704997682301796,0.579129590889224,0.7017035391383866,-0.333665521713362,0.1611605513615133,0.366055755482683
2010-02-09,-0.03474227344184112,-0.03616757632555917,0.00843422167085882,0.5650427030034703,5.1498617099484604e-05,0.00019567307958161235,-0.0026329606960521367,0.00022105069902099078,-0.003756834834610002,0.0037084559743390992,0.6131161169242442,0.03065580584621221,0.010891113992033356,0.01659128473594434,0.05330393797440644,0.5673266355934946,0.9253167873641018,0.001058394796068124,0.003342140180647718,-1.591752305783323,-1.4399967956529047,0.32537776128110035,4.440892098500626e-15,0.2684083767487736,0.4178279683448086,-0.600790954647773,0.47423539220227284,-0.7163049184731561,1.0057948051597105,0.26278153058457254,0.2627815305845602,0.16128781918110044,1.1031712160744434,0.1936387880270759,0.09469561840269368,-0.4244140614888327,0.14595590967664565,0.3387292853042745
2010-02-10,-0.031907181889463156,-0.032458258166774265,-0.0059007248439039445,0.5650427030034703,6.026795920570473e-05,0.00024395115545735503,-0.002089733213867177,0.000268982917758188,-0.002831581543656421,0.004476630236449335,0.6098079558736951,0.030490397793684752,0.010589910391431315,0.016109290401351912,0.050199758284670604,0.5669035910545105,0.929642825407691,0.0010418105597156811,0.003152292420259136,-1.4809448647394994,-1.3190357318368153,-0.31585810644453927,4.440892098500626e-15,0.31085399145911585,0.521427188912031,-0.4763979360187273,0.5773922128707336,-0.539307482981221,1.2142052582485952,0.18608960862333576,0.1860896086233223,0.003008669534305423,0.48583964760630055,-0.16940277813141905,-0.017586660230970885,-0.3331481001179987,0.07203701692306032,0.2319151040589174
2010-02-11,-0.022629553810452993,-0.019955536229528663,-0.007362975742170351,0.5650427030034703,-2.477495782185593e-05,0.0003668948916081305,-0.006004320348469534,0.00040212437436669326,-0.00812178602065873,0.006087559885297217,0.6095141721859978,0.03047570860929989,0.010520588590532697,0.01565459491006745,0.05038982540784552,0.5658955643589335,0.9284370900341367,0.0010394515995302022,0.0032150829059760873,-1.1183356835547973,-0.9113212998611556,-0.3812680277593362,4.440892098500626e-15,-0.10077311195096497,0.7852503634648973,-1.3727946138911777,0.8639311990629746,-1.5513034789018012,1.6512604872124188,0.17927892579801671,0.17927892579800356,-0.033419167570851394,-0.09652794608623907,-0.14717395345969606,-0.2851318567125064,-0.3585853701830034,0.06152271157581961,0.2672429599584374
2010-02-12,-0.022861467174984808,-0.017098972499052244,-0.00700699154477819,0.5650427030034703,-4.624828735104942e-05,0.0002390301167317851,-0.005997161448564201,0.00029412938208102965,-0.008352189584685437,0.003041725864833603,0.6065692815120587,0.030328464075602933,0.010151880144839651,0.015944956528198745,0.04745535042261145,0.5658068360225889,0.9327983682459866,0.0010228764036603272,0.0029731111830702066,-1.1273998446208058,-0.818168603622752,-0.36534401747605444,4.440892098500626e-15,-0.20470892158232476,0.5108672035128135,-1.3711553058692314,0.6315109117112727,-1.595378804393375,0.8249067813559372,0.11100857187657603,0.11100857187656242,-0.22717136420874065,0.2753631328732521,-0.49036813065726725,-0.3086816697134639,-0.2665759507559113,-0.012355886138116499,0.13110223639225865
2010-02-16,-0.003625640891990127,-0.000806142255038951,-0.006574792723987834,0.5650427030034703,-4.682704005242229e-05,0.0002277235207879903,-0.008858968153204654,0.000274479848603903,-0.010040580939179172,0.0015296965241534623,0.6070230614411618,0.03035115307205809,0.01018550486830255,0.016272102188815574,0.050794019499225115,0.5650931598011467,0.9309253563769598,0.0010249370022257164,0.0030630796663396556,-0.3755819059745681,-0.2868585367784462,-0.34601074786154346,4.440892098500626e-15,-0.20751021657999835,0.4866045437899928,-2.026477038288247,0.5892223748039284,-1.9183616489549502,0.41468382086625755,0.12152839070600553,0.12152839070599292,-0.20950194516401974,0.6943666963838223,-0.09990244516020538,-0.49810189610999317,-0.3060906815935264,-0.0031714316280503107,0.1817212684980004
