metric,signature_trailing_score,returns_trailing_score,covariance_trailing_score,volatility_trailing_score
signature_trailing_score,1.0,0.7362190134483245,0.7901777385287941,0.7367442921710896
returns_trailing_score,0.7362190134483245,1.0,0.7379141658698293,0.7145019560308338
covariance_trailing_score,0.7901777385287941,0.7379141658698293,1.0,0.9411461300216964
volatility_trailing_score,0.7367442921710896,0.7145019560308338,0.9411461300216964,1.0
