period,start_date,end_date,window_count,mean_score,max_score,median_score,global_median_score,mean_vs_global_median_ratio
2020 COVID crash,2020-02-15,2020-04-15,41,36.05868118744466,117.81710677237889,34.18399801972876,1.9315914159201133,18.667861583070927
2011 US downgrade,2011-08-01,2011-08-31,23,13.277352672979571,38.56179531214014,9.055264757605018,1.9315914159201133,6.873789437842841
2022 inflation / rates shock,2022-04-01,2022-10-31,147,6.424372443787372,15.90209644410884,5.977311660995479,1.9315914159201133,3.3259479157123524
2015 China / growth scare,2015-08-01,2015-09-15,31,4.51033307808431,8.932769696364367,4.256110889449729,1.9315914159201133,2.3350347495387958
2018 Q4 selloff,2018-10-01,2018-12-31,63,2.9489920380324026,10.608232339719324,2.2489249111922516,1.9315914159201133,1.5267162681128663
