window_end_date,signature_trailing_score,signature_consecutive_distance,returns_trailing_score,covariance_trailing_score,volatility_trailing_score
2010-02-02,,,,,
2010-02-03,,0.8735639811174037,,,
2010-02-04,,2.5039813443380234,,,
2010-02-05,,0.5385618243697441,,,
2010-02-08,,1.1005400334195992,,,
2010-02-09,,1.371390540736484,,,
2010-02-10,,1.6538806768262466,,,
2010-02-11,,0.9646066328494327,,,
2010-02-12,,0.945176002160846,,,
2010-02-16,,1.3100261954346506,,,
2010-02-17,,0.9108306506887163,,,
2010-02-18,,0.960386240133305,,,
2010-02-19,,0.8330286191266547,,,
2010-02-22,,1.0734991495066162,,,
2010-02-23,,0.8741420229945898,,,
2010-02-24,,0.3778712146675643,,,
2010-02-25,,0.2857338004613702,,,
2010-02-26,,0.7235060163347306,,,
2010-03-01,,1.1986629273850762,,,
2010-03-02,,0.6826977573715879,,,
2010-03-03,,0.4740801468669649,,,
2010-03-04,,0.6346955209512858,,,
2010-03-05,,2.8168278704587717,,,
2010-03-08,,0.5899396792075873,,,
2010-03-09,,0.9196891394720629,,,
2010-03-10,,0.835120160561898,,,
2010-03-11,,0.9931231244166024,,,
2010-03-12,,1.23892636891269,,,
2010-03-15,,0.388110510296398,,,
2010-03-16,,0.7126352437483061,,,
2010-03-17,,0.9143739344567248,,,
2010-03-18,,0.5529752094579651,,,
2010-03-19,,0.5699425358118181,,,
2010-03-22,,0.6581350754331527,,,
2010-03-23,,1.7515859797325182,,,
2010-03-24,,1.827566204816233,,,
2010-03-25,,0.7089558611707638,,,
2010-03-26,,0.458673253540518,,,
2010-03-29,,0.4970936219961708,,,
2010-03-30,,0.34536768615371377,,,
2010-03-31,,0.6084606064433016,,,
2010-04-01,,0.42786211321063844,,,
2010-04-05,,0.6590576128860931,,,
2010-04-06,,0.3308416921521701,,,
2010-04-07,,0.7966561474662931,,,
2010-04-08,,0.20623987152367526,,,
2010-04-09,,0.20017796790448403,,,
2010-04-12,,0.27385573748419195,,,
2010-04-13,,0.278521308945606,,,
2010-04-14,,0.6671048631167409,,,
2010-04-15,,0.3215320734670225,,,
2010-04-16,,0.8528825378214205,,,
2010-04-19,,0.35018940436378315,,,
2010-04-20,,0.31385727535384406,,,
2010-04-21,,0.5583166631737828,,,
2010-04-22,,0.8390790264701161,,,
2010-04-23,,0.4752622562655048,,,
2010-04-26,,0.2303664658421177,,,
2010-04-27,,1.4009797731848597,,,
2010-04-28,,0.5648960861282426,,,
